boardid;tradedate;shortname;secid;numtrades;value;open;low;high;legalcloseprice;waprice;close;volume;marketprice2;marketprice3;admittedquote;mp2valtrd;marketprice3tradesvalue;admittedvalue;waval;tradingsession;currencyid;trendclspr
TQBR;2022-09-22;Совкомфлот;FLOT;3117;23903228.7;36.51;36.5;37.49;37.16;37.17;37.16;643070;37.17;37.17;37.16;23903228.7;23903228.7;23903228.7;0;3;SUR;1.78
TQBR;2022-09-23;Совкомфлот;FLOT;4282;28267018.6;37.49;35.05;37.49;35.2;35.7;35.2;791880;35.7;35.7;35.2;28267018.6;28267018.6;28267018.6;0;3;SUR;-5.27
TQBR;2022-09-26;Совкомфлот;FLOT;8349;50996255.3;35.0;30.21;35.0;31.85;32.22;31.85;1582950;32.22;32.22;31.85;50996255.3;50996255.3;50996255.3;0;3;SUR;-9.52
TQBR;2022-09-27;Совкомфлот;FLOT;4060;26619045.2;31.65;30.35;32.77;31.08;31.4;31.08;847810;31.4;31.4;31.08;26619045.2;26619045.2;26619045.2;0;3;SUR;-2.42
TQBR;2022-09-28;Совкомфлот;FLOT;2479;21213435.8;31.5;31.05;32.22;31.3;31.66;31.3;670010;31.66;31.66;31.3;21213435.8;21213435.8;21213435.8;0;3;SUR;0.71
TQBR;2022-09-29;Совкомфлот;FLOT;5111;34854194.8;31.96;29.95;31.96;30.01;30.28;30.01;1151130;30.28;30.28;30.01;34854194.8;34854194.8;34854194.8;0;3;SUR;-4.12
TQBR;2022-09-30;Совкомфлот;FLOT;4154;29331545.1;30.03;29.5;30.89;29.92;30.07;29.92;975570;30.07;30.07;29.92;29331545.1;29331545.1;29331545.1;0;3;SUR;-0.3
TQBR;2022-10-03;Совкомфлот;FLOT;3888;28137794.1;30.4;30.13;32.3;32.26;31.41;32.26;895800;31.41;31.41;32.26;28137794.1;28137794.1;28137794.1;0;3;SUR;7.82
TQBR;2022-10-04;Совкомфлот;FLOT;5296;48308373.0;32.6;32.1;35.2;33.71;33.45;33.71;1444390;33.45;33.45;33.71;48308373.0;48308373.0;48308373.0;0;3;SUR;4.49
TQBR;2022-10-05;Совкомфлот;FLOT;4493;36626300.3;33.7;31.75;34.02;32.35;32.45;32.35;1128820;32.45;32.45;32.35;36626300.3;36626300.3;36626300.3;0;3;SUR;-4.03
TQBR;2022-10-06;Совкомфлот;FLOT;3354;25319595.6;32.66;32.11;33.6;32.3;32.75;32.3;773180;32.75;32.75;32.3;25319595.6;25319595.6;25319595.6;0;3;SUR;-0.15
TQBR;2022-10-07;Совкомфлот;FLOT;3572;21514862.7;31.65;30.68;32.29;30.92;31.31;30.92;687100;31.31;31.31;30.92;21514862.7;21514862.7;21514862.7;0;3;SUR;-4.27
TQBR;2022-10-10;Совкомфлот;FLOT;4496;35332761.1;30.3;28.68;32.4;31.68;30.54;31.68;1157370;30.53;30.53;31.68;35332761.1;35332761.1;35332761.1;0;3;SUR;2.46
TQBR;2022-10-11;Совкомфлот;FLOT;2272;15253759.8;31.7;30.42;32.29;32.01;31.76;32.01;480270;31.76;31.76;32.01;15253759.8;15253759.8;15253759.8;0;3;SUR;1.04
TQBR;2022-10-12;Совкомфлот;FLOT;2037;16604366.0;32.29;31.75;32.85;32.35;32.33;32.35;513670;32.32;32.32;32.35;16604366.0;16604366.0;16604366.0;0;3;SUR;1.06
TQBR;2022-10-13;Совкомфлот;FLOT;15215;178094187.6;32.35;32.14;36.47;35.05;35.14;35.05;5067560;35.14;35.14;35.05;178094187.6;178094187.6;178094187.6;0;3;SUR;8.35
TQBR;2022-10-14;Совкомфлот;FLOT;5775;58405966.5;35.1;34.4;36.4;34.42;35.32;34.42;1653850;35.32;35.32;34.42;58405966.5;58405966.5;58405966.5;0;3;SUR;-1.8
TQBR;2022-10-17;Совкомфлот;FLOT;3852;31088391.9;34.72;34.3;35.7;35.31;35.21;35.31;882950;35.21;35.21;35.31;31088391.9;31088391.9;31088391.9;0;3;SUR;2.59
TQBR;2022-10-18;Совкомфлот;FLOT;3761;37760338.7;35.6;35.1;36.31;35.85;35.85;35.85;1053180;35.85;35.85;35.85;37760338.7;37760338.7;37760338.7;0;3;SUR;1.53
TQBR;2022-10-19;Совкомфлот;FLOT;5143;39425003.6;35.4;33.96;36.06;34.85;34.89;34.85;1130020;34.89;34.89;34.85;39425003.6;39425003.6;39425003.6;0;3;SUR;-2.79
TQBR;2022-10-20;Совкомфлот;FLOT;2734;21241270.3;35.02;35.02;35.85;35.46;35.51;35.46;598150;35.51;35.51;35.46;21241270.3;21241270.3;21241270.3;0;3;SUR;1.75
TQBR;2022-10-21;Совкомфлот;FLOT;1913;14125021.7;35.6;34.65;35.8;35.64;35.33;35.64;399770;35.33;35.33;35.64;14125021.7;14125021.7;14125021.7;0;3;SUR;0.51
TQBR;2022-10-24;Совкомфлот;FLOT;12349;149237167.3;35.8;35.68;38.45;38.3;37.57;38.3;3972170;37.57;37.57;38.3;149237167.3;149237167.3;149237167.3;0;3;SUR;7.46
TQBR;2022-10-25;Совкомфлот;FLOT;9491;85775704.1;38.29;37.66;39.0;38.01;38.35;38.01;2236790;38.35;38.35;38.01;85775704.1;85775704.1;85775704.1;0;3;SUR;-0.76
TQBR;2022-10-26;Совкомфлот;FLOT;5673;56821110.3;38.35;37.06;38.75;37.65;37.98;37.65;1495970;37.98;37.98;37.65;56821110.3;56821110.3;56821110.3;0;3;SUR;-0.95
TQBR;2022-10-27;Совкомфлот;FLOT;4851;39150443.7;37.7;37.0;38.45;37.92;37.9;37.92;1032980;37.9;37.9;37.92;39150443.7;39150443.7;39150443.7;0;3;SUR;0.72
TQBR;2022-10-28;Совкомфлот;FLOT;2551;18061296.2;37.9;37.5;38.19;37.97;37.84;37.97;477370;37.84;37.84;37.97;18061296.2;18061296.2;18061296.2;0;3;SUR;0.13
TQBR;2022-10-31;Совкомфлот;FLOT;4865;42842264.3;37.97;37.62;39.28;38.49;38.65;38.49;1108500;38.65;38.65;38.49;42842264.3;42842264.3;42842264.3;0;3;SUR;1.37
TQBR;2022-11-01;Совкомфлот;FLOT;3487;28407593.3;38.61;38.0;39.22;38.51;38.67;38.51;734650;38.67;38.67;38.51;28407593.3;28407593.3;28407593.3;0;3;SUR;0.05
TQBR;2022-11-02;Совкомфлот;FLOT;2376;18163353.0;38.51;38.0;38.99;38.16;38.37;38.16;473420;38.37;38.37;38.16;18163353.0;18163353.0;18163353.0;0;3;SUR;-0.91
TQBR;2022-11-03;Совкомфлот;FLOT;2893;16701486.2;38.1;37.2;38.15;37.63;37.59;37.63;444360;37.59;37.59;37.63;16701486.2;16701486.2;16701486.2;0;3;SUR;-1.39
TQBR;2022-11-07;Совкомфлот;FLOT;5352;52723351.0;38.19;37.84;39.42;38.7;38.83;38.7;1357780;38.83;38.83;38.7;52723351.0;52723351.0;52723351.0;0;3;SUR;2.84
TQBR;2022-11-08;Совкомфлот;FLOT;3351;25073632.7;38.88;37.65;38.99;38.35;38.32;38.35;654380;38.32;38.32;38.35;25073632.7;25073632.7;25073632.7;0;3;SUR;-0.9
TQBR;2022-11-09;Совкомфлот;FLOT;2715;19245244.2;38.35;37.75;38.57;37.75;38.18;37.75;504060;38.18;38.18;37.75;19245244.2;19245244.2;19245244.2;0;3;SUR;-1.56
TQBR;2022-11-10;Совкомфлот;FLOT;1924;17382783.1;38.0;37.74;38.3;37.95;37.95;37.95;458100;37.95;37.95;37.95;17382783.1;17382783.1;17382783.1;0;3;SUR;0.53
TQBR;2022-11-11;Совкомфлот;FLOT;2439;21978874.1;38.2;37.84;38.77;38.31;38.3;38.31;573790;38.3;38.3;38.31;21978874.1;21978874.1;21978874.1;0;3;SUR;0.95
TQBR;2022-11-14;Совкомфлот;FLOT;2935;28939896.9;38.69;38.25;39.2;38.82;38.83;38.82;745300;38.83;38.83;38.82;28939896.9;28939896.9;28939896.9;0;3;SUR;1.33
TQBR;2022-11-15;Совкомфлот;FLOT;4348;51744827.7;38.93;37.73;39.76;38.75;38.85;38.75;1331810;38.85;38.85;38.75;51744827.7;51744827.7;51744827.7;0;3;SUR;-0.18
TQBR;2022-11-16;Совкомфлот;FLOT;2110;20901793.4;38.7;38.28;38.95;38.51;38.56;38.51;541990;38.56;38.56;38.51;20901793.4;20901793.4;20901793.4;0;3;SUR;-0.62
TQBR;2022-11-17;Совкомфлот;FLOT;3903;42384855.3;38.38;38.38;39.5;38.8;39.03;38.8;1085900;39.03;39.03;38.8;42384855.3;42384855.3;42384855.3;0;3;SUR;0.75
TQBR;2022-11-18;Совкомфлот;FLOT;3720;47402439.8;38.81;38.65;39.75;39.65;39.35;39.65;1204700;39.35;39.35;39.65;47402439.8;47402439.8;47402439.8;0;3;SUR;2.19
TQBR;2022-11-21;Совкомфлот;FLOT;5412;52935460.7;39.71;38.92;40.8;39.25;39.72;39.25;1332610;39.72;39.72;39.25;52935460.7;52935460.7;52935460.7;0;3;SUR;-1.01
TQBR;2022-11-22;Совкомфлот;FLOT;3511;37642174.5;39.3;39.16;40.44;39.96;39.94;39.96;942530;39.94;39.94;39.96;37642174.5;37642174.5;37642174.5;0;3;SUR;1.81
TQBR;2022-11-23;Совкомфлот;FLOT;2402;25774838.3;40.8;39.69;40.8;40.15;40.17;40.15;641720;40.17;40.17;40.15;25774838.3;25774838.3;25774838.3;0;3;SUR;0.48
TQBR;2022-11-24;Совкомфлот;FLOT;2593;28186869.7;40.43;40.18;40.99;40.34;40.59;40.34;694350;40.59;40.59;40.34;28186869.7;28186869.7;28186869.7;0;3;SUR;0.47
TQBR;2022-11-25;Совкомфлот;FLOT;3048;28182272.1;40.34;39.27;40.35;39.71;39.75;39.71;708920;39.75;39.75;39.71;28182272.1;28182272.1;28182272.1;0;3;SUR;-1.56
TQBR;2022-11-28;Совкомфлот;FLOT;1550;11600995.8;39.68;39.13;39.68;39.38;39.45;39.38;294050;39.45;39.45;39.38;11600995.8;11600995.8;11600995.8;0;3;SUR;-0.83
TQBR;2022-11-29;Совкомфлот;FLOT;1510;10632958.0;39.39;39.25;39.79;39.36;39.47;39.36;269360;39.47;39.47;39.36;10632958.0;10632958.0;10632958.0;0;3;SUR;-0.05
TQBR;2022-11-30;Совкомфлот;FLOT;1566;13469246.5;39.58;38.82;39.58;38.93;39.14;38.93;344100;39.14;39.14;38.93;13469246.5;13469246.5;13469246.5;0;3;SUR;-1.09
TQBR;2022-12-01;Совкомфлот;FLOT;1668;12642042.4;39.0;38.63;39.25;38.87;38.86;38.87;325290;38.86;38.86;38.87;12642042.4;12642042.4;12642042.4;0;3;SUR;-0.15
TQBR;2022-12-02;Совкомфлот;FLOT;2683;23827497.0;38.89;38.0;38.97;38.2;38.43;38.2;620010;38.43;38.43;38.2;23827497.0;23827497.0;23827497.0;0;3;SUR;-1.72
TQBR;2022-12-05;Совкомфлот;FLOT;2804;35745507.9;38.1;37.92;38.95;38.68;38.66;38.68;924590;38.66;38.66;38.68;35745507.9;35745507.9;35745507.9;0;3;SUR;1.26
TQBR;2022-12-06;Совкомфлот;FLOT;3852;47605490.7;38.68;38.09;40.0;39.31;39.21;39.31;1214030;39.21;39.21;39.31;47605490.7;47605490.7;47605490.7;0;3;SUR;1.63
TQBR;2022-12-07;Совкомфлот;FLOT;2656;28774571.3;39.31;38.75;39.9;39.19;39.18;39.19;734440;39.18;39.18;39.19;28774571.3;28774571.3;28774571.3;0;3;SUR;-0.31
TQBR;2022-12-08;Совкомфлот;FLOT;2037;23138887.6;39.28;38.52;39.49;39.03;39.09;39.03;591910;39.09;39.09;39.03;23138887.6;23138887.6;23138887.6;0;3;SUR;-0.41
TQBR;2022-12-09;Совкомфлот;FLOT;1421;10922716.6;39.03;38.6;39.07;38.62;38.81;38.62;281470;38.81;38.81;38.62;10922716.6;10922716.6;10922716.6;0;3;SUR;-1.05
